Feature,Weight
crowd_dynamics,0.08155609881280318
pedestrian_density,0.08030493432988987
pedestrian_flow,0.07191540802249197
surface_condition,0.06303802678278914
street_furniture_density,0.06131255085131095
weather_conditions,0.05787886496331223
sidewalk_width,0.05777568510913369
curb_ramp_availability,0.055479313732013945
intersection_safety,0.05063705731064152
sidewalk_roughness,0.04253343803207952
slope_gradient,0.03821637810827449
digital_map_existence,0.035014907808535806
vehicle_traffic,0.03410412719762482
zoning_laws,0.03333263629924906
local_attitudes,0.0330090626254074
traffic_management,0.03236744076999264
communication_infrastructure,0.03183757439940551
gps_signal_strength,0.03062803721254622
bicycle_traffic,0.027634697588772
street_lighting,0.020451560087032777
charging_station_proximity,0.01744548675375911
bike_lane_availability,0.016005772884571313
surveillance_coverage,0.013816199918544837
shade_availability,0.01370474039981792
