Feature,Weight
pedestrian_density,0.17297589331503324
crowd_dynamics,0.11916446120114128
surface_condition,0.11852843699098191
street_furniture_density,0.09009026357561593
sidewalk_width,0.08296811769160113
curb_ramp_availability,0.07821447618470702
digital_map_existence,0.06151137200434987
communication_infrastructure,0.05743138887721409
gps_signal_strength,0.05083302687862627
slope_gradient,0.04801371715803804
sidewalk_roughness,0.038151316379266935
bicycle_traffic,0.024767252467258
charging_station_proximity,0.022836236026086046
surveillance_coverage,0.01876627025548805
bike_lane_availability,0.015747770994592097
