Feature,Weight
pedestrian_density,0.11118306845892496
crowd_dynamics,0.08355784401227999
pedestrian_flow,0.08065768667164075
surface_condition,0.06638295554925014
sidewalk_width,0.06192023140116748
street_furniture_density,0.05855166011300643
intersection_safety,0.05723011179757833
weather_conditions,0.04888670563706209
curb_ramp_availability,0.04750395220875188
communication_infrastructure,0.04574542512430543
digital_map_existence,0.039653269731370865
sidewalk_roughness,0.036306414191557286
gps_signal_strength,0.03374461378470403
local_attitudes,0.031514989366965306
vehicle_traffic,0.030851099175472494
traffic_management,0.029558131245457666
slope_gradient,0.028545729991129316
zoning_laws,0.026271270316435148
street_lighting,0.018744715745621164
bicycle_traffic,0.017057499178535163
charging_station_proximity,0.014701736083952517
bike_lane_availability,0.012010401242284648
surveillance_coverage,0.011698441451483816
shade_availability,0.007722047521063091
