Feature,Weight
sidewalk_width,0.06367870075280725
sidewalk_roughness,0.06205854942236406
slope_gradient,0.061658115887847004
pedestrian_density,0.061658115887847
street_furniture_density,0.05759783950847198
communication_infrastructure,0.055778651345112756
surface_condition,0.04971829271043309
curb_ramp_availability,0.04949207501667255
traffic_management,0.0489296973297751
local_attitudes,0.046470640137695494
charging_station_proximity,0.04250379080883384
weather_conditions,0.039756926767495954
zoning_laws,0.03734500321440219
digital_map_existence,0.03671285751332571
bike_lane_availability,0.03654368632718748
crowd_dynamics,0.034441974449084964
pedestrian_flow,0.03426648138883026
surveillance_coverage,0.034235758058529825
shade_availability,0.030372637712356307
gps_signal_strength,0.02845016466685954
vehicle_traffic,0.02558114730409385
street_lighting,0.022799350317773307
bicycle_traffic,0.020837344420199546
intersection_safety,0.019112199052000907
