Feature,Weight
pedestrian_density,0.0689878404287623
sidewalk_width,0.0632363148414463
street_furniture_density,0.06020749011940585
communication_infrastructure,0.054432737462735886
surface_condition,0.052897289094611256
sidewalk_roughness,0.052428963531953636
slope_gradient,0.04802941771254057
local_attitudes,0.04672829989928273
crowd_dynamics,0.04556975978922039
curb_ramp_availability,0.04396810884663129
charging_station_proximity,0.04274404412571353
traffic_management,0.041177836487280906
weather_conditions,0.038274672765650476
zoning_laws,0.038190425009072784
gps_signal_strength,0.03793332534436514
shade_availability,0.03702877568352065
vehicle_traffic,0.03677094636843637
street_lighting,0.036531086144091694
surveillance_coverage,0.03546160014408551
bike_lane_availability,0.028506403229246156
digital_map_existence,0.026357354465454164
intersection_safety,0.023808952813600803
pedestrian_flow,0.022646300543646435
bicycle_traffic,0.018082055149245047
