Feature,Weight
pedestrian_density,0.14712524050275647
crowd_dynamics,0.0947553411301599
surface_condition,0.09200271522411026
sidewalk_width,0.0786335724717844
street_furniture_density,0.07641984979589281
intersection_safety,0.06572017056169506
curb_ramp_availability,0.059574475962396754
communication_infrastructure,0.053890266389260685
digital_map_existence,0.047656544144588454
gps_signal_strength,0.041125317823180976
vehicle_traffic,0.03783365134604695
sidewalk_roughness,0.03766527282811401
slope_gradient,0.036785493830033364
traffic_management,0.03415752383511192
zoning_laws,0.03075990552987293
bicycle_traffic,0.020275434308962063
charging_station_proximity,0.018202827081173018
surveillance_coverage,0.014424303483411616
bike_lane_availability,0.012992093751448367
